Country,Year,CO2 emission (Tons),% of World
Germany,1922,1.59869e+10,0.20%
Germany,1923,1.63189e+10,0.20%
Germany,1924,1.67707e+10,0.20%
Germany,1925,1.72287e+10,0.20%
Germany,1926,1.7642e+10,0.20%
Germany,1927,1.81232e+10,0.20%
Germany,1928,1.86282e+10,0.20%
Germany,1929,1.91674e+10,0.20%
Germany,1930,1.96295e+10,0.20%
Germany,1931,2.00155e+10,0.20%
Germany,1932,2.03629e+10,0.20%
Germany,1933,2.07279e+10,0.20%
Germany,1934,2.11365e+10,0.20%
Germany,1935,2.15889e+10,0.20%
Germany,1936,2.20885e+10,0.20%
Germany,1937,2.2652e+10,0.20%
Germany,1938,2.32533e+10,0.20%
Germany,1939,2.39019e+10,0.20%
Germany,1940,2.45562e+10,0.20%
Germany,1941,2.5217e+10,0.20%
Germany,1942,2.58849e+10,0.20%
Germany,1943,2.65644e+10,0.20%
Germany,1944,2.71646e+10,0.20%
Germany,1945,2.72807e+10,0.20%
Germany,1946,2.75524e+10,0.20%
Germany,1947,2.787e+10,0.20%
Germany,1948,2.82479e+10,0.20%
Germany,1949,2.868e+10,0.20%
Germany,1950,2.91907e+10,0.20%
Germany,1951,2.97676e+10,0.20%
Germany,1952,3.03785e+10,0.20%
Germany,1953,3.1002e+10,0.20%
Germany,1954,3.16618e+10,0.20%
Germany,1955,3.23853e+10,0.20%
Germany,1956,3.31515e+10,0.20%
Germany,1957,3.39294e+10,0.20%
Germany,1958,3.46857e+10,0.20%
Germany,1959,3.54415e+10,0.20%
Germany,1960,3.62555e+10,0.20%
Germany,1961,3.70903e+10,0.20%
Germany,1962,3.79735e+10,0.20%
Germany,1963,3.8919e+10,0.20%
Germany,1964,3.98879e+10,0.20%
Germany,1965,4.0848e+10,0.20%
Germany,1966,4.17994e+10,0.20%
Germany,1967,4.27357e+10,0.20%
Germany,1968,4.37205e+10,0.20%
Germany,1969,4.47725e+10,0.20%
Germany,1970,4.57985e+10,0.20%
Germany,1971,4.68357e+10,0.20%
Germany,1972,4.78772e+10,0.20%
Germany,1973,4.89629e+10,0.20%
Germany,1974,5.00257e+10,0.20%
Germany,1975,5.10281e+10,0.20%
Germany,1976,5.21189e+10,0.20%
Germany,1977,5.31716e+10,0.20%
Germany,1978,5.42507e+10,0.20%
Germany,1979,5.53686e+10,0.20%
Germany,1980,5.64686e+10,0.20%
Germany,1981,5.75172e+10,0.20%
Germany,1982,5.85329e+10,0.20%
Germany,1983,5.95445e+10,0.20%
Germany,1984,6.05778e+10,0.20%
Germany,1985,6.16219e+10,0.20%
Germany,1986,6.26693e+10,0.20%
Germany,1987,6.37018e+10,0.20%
Germany,1988,6.47308e+10,0.20%
Germany,1989,6.57396e+10,0.20%
Germany,1990,6.67921e+10,0.20%
Germany,1991,6.78063e+10,0.20%
Germany,1992,6.87722e+10,0.20%
Germany,1993,6.97283e+10,0.20%
Germany,1994,7.06681e+10,0.20%
Germany,1995,7.16071e+10,0.20%
Germany,1996,7.25663e+10,0.20%
Germany,1997,7.34976e+10,0.20%
Germany,1998,7.44209e+10,0.20%
Germany,1999,7.53168e+10,0.20%
Germany,2000,7.62167e+10,0.20%
Germany,2001,7.71333e+10,0.20%
Germany,2002,7.80333e+10,0.20%
Germany,2003,7.89344e+10,0.20%
Germany,2004,7.98215e+10,0.20%
Germany,2005,8.06882e+10,0.20%
Germany,2006,8.15665e+10,0.20%
Germany,2007,8.24182e+10,0.20%
Germany,2008,8.32731e+10,0.20%
Germany,2009,8.40634e+10,0.20%
Germany,2010,8.48963e+10,0.20%
Germany,2011,8.57056e+10,0.20%
Germany,2012,8.65195e+10,0.20%
Germany,2013,8.7351e+10,0.20%
Germany,2014,8.81436e+10,0.20%
Germany,2015,8.89392e+10,0.20%
Germany,2016,8.97399e+10,0.20%
Germany,2017,9.05258e+10,0.20%
Germany,2018,9.12799e+10,0.20%
Germany,2019,9.19913e+10,0.20%
Germany,2020,9.26356e+10,0.20%
